0,1,1
2.00E-02,1,1
4.00E-02,1,1
6.00E-02,1,1
8.00E-02,1,1
1.00E-01,1,1
1.20E-01,1,1
1.40E-01,1,1
1.60E-01,1,1
1.80E-01,1,1
2.00E-01,1,1
2.20E-01,1,1
2.40E-01,1.00E+00,1.00E+00
2.60E-01,1.00E+00,1.00E+00
2.80E-01,1.00E+00,1.00E+00
3.00E-01,1.00E+00,1.00E+00
3.20E-01,9.99E-01,9.99E-01
3.40E-01,9.99E-01,9.99E-01
3.60E-01,9.97E-01,9.97E-01
3.80E-01,9.95E-01,9.95E-01
4.00E-01,9.90E-01,9.90E-01
4.20E-01,9.80E-01,9.80E-01
4.40E-01,9.54E-01,9.54E-01
4.60E-01,8.16E-01,8.16E-01
4.80E-01,5.42E-01,5.42E-01
5.00E-01,4.72E-01,4.72E-01
5.20E-01,4.37E-01,4.37E-01
5.40E-01,4.13E-01,4.13E-01
5.60E-01,3.92E-01,3.92E-01
5.80E-01,3.74E-01,3.74E-01
6.00E-01,3.57E-01,3.57E-01
6.20E-01,3.40E-01,3.40E-01
6.40E-01,3.24E-01,3.24E-01
6.60E-01,3.08E-01,3.08E-01
6.80E-01,2.92E-01,2.92E-01
7.00E-01,2.77E-01,2.77E-01
7.20E-01,2.61E-01,2.61E-01
7.40E-01,2.47E-01,2.47E-01
7.60E-01,2.32E-01,2.32E-01
7.80E-01,2.19E-01,2.19E-01
8.00E-01,2.06E-01,2.06E-01
8.20E-01,1.93E-01,1.93E-01
8.40E-01,1.82E-01,1.82E-01
8.60E-01,1.72E-01,1.72E-01
8.80E-01,1.63E-01,1.63E-01
9.00E-01,1.55E-01,1.55E-01
9.20E-01,1.49E-01,1.49E-01
9.40E-01,1.43E-01,1.43E-01
9.60E-01,1.37E-01,1.37E-01
9.80E-01,1.33E-01,1.33E-01
1,1.28E-01,1.28E-01
